"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/26/2022","AQS","040038001","1","0.051","ppm","47","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/27/2022","AQS","040038001","1","0.058","ppm","61","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/28/2022","AQS","040038001","1","0.057","ppm","58","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/29/2022","AQS","040038001","1","0.064","ppm","80","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"04/30/2022","AQS","040038001","1","0.065","ppm","84","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"05/01/2022","AQS","040038001","1","0.064","ppm","80","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"05/02/2022","AQS","040038001","1","0.059","ppm","64","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"05/03/2022","AQS","040038001","1","0.052","ppm","48","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"05/04/2022","AQS","040038001","1","0.063","ppm","77","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"05/05/2022","AQS","040038001","1","0.064","ppm","80","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
"05/06/2022","AQS","040038001","1","0.062","ppm","74","Chiricahua NM","17","100.0000","44201","Ozone","047","43420","Sierra Vista-Douglas, AZ","04","Arizona","003","Cochise","32.00941","-109.38906"
