GEOID;tract;county;hh_count;median_hh_inc;mean_hh_inc
04013817500;Census Tract 8175; Maricopa County;1657;62760;75672
04013817600;Census Tract 8176; Maricopa County;2093;120893;152325
04013940700;Census Tract 9407; Maricopa County;13;-;N
04013941000;Census Tract 9410; Maricopa County;689;37048;48335
04013941100;Census Tract 9411; Maricopa County;20;-;N
04013941200;Census Tract 9412; Maricopa County;267;56917;67621
04013941300;Census Tract 9413; Maricopa County;2094;36447;50741
04013980100;Census Tract 9801; Maricopa County;0;-;-
04013980400;Census Tract 9804; Maricopa County;0;-;-
04013980500;Census Tract 9805; Maricopa County;0;-;-
04013980700;Census Tract 9807; Maricopa County;0;-;-
04013980900;Census Tract 9809; Maricopa County;66;116793;136708
04013981000;Census Tract 9810; Maricopa County;0;-;-
04019000100;Census Tract 1; Pima County;735;28268;43162
04019000200;Census Tract 2; Pima County;2245;40701;61976
04019000300;Census Tract 3; Pima County;730;37813;58021
04019000401;Census Tract 4.01; Pima County;1131;36950;55516
04019000402;Census Tract 4.02; Pima County;662;24881;53723
04019000501;Census Tract 5.01; Pima County;974;29145;41167
04019000502;Census Tract 5.02; Pima County;868;33323;43213
04019000600;Census Tract 6; Pima County;2089;83601;102558
04019000700;Census Tract 7; Pima County;2390;57179;62562
04019000800;Census Tract 8; Pima County;874;55670;73677
04019001100;Census Tract 11; Pima County;1106;36446;56133
04019001200;Census Tract 12; Pima County;1356;50272;54145
04019001302;Census Tract 13.02; Pima County;1106;32273;41495
04019001303;Census Tract 13.03; Pima County;1334;31801;39427
04019001304;Census Tract 13.04; Pima County;2465;31733;38290
04019001400;Census Tract 14; Pima County;3174;29571;43817
04019001500;Census Tract 15; Pima County;2104;38294;49405
04019001600;Census Tract 16; Pima County;1694;63041;82366
04019001700;Census Tract 17; Pima County;1452;62632;80761
04019001801;Census Tract 18.01; Pima County;2647;26175;41745
04019001802;Census Tract 18.02; Pima County;1366;47424;56636
04019001900;Census Tract 19; Pima County;1650;84670;107023
04019002000;Census Tract 20; Pima County;2482;50135;59206
04019002100;Census Tract 21; Pima County;1947;58250;64515
04019002201;Census Tract 22.01; Pima County;1303;46146;60798
04019002202;Census Tract 22.02; Pima County;1259;43141;54488
04019002300;Census Tract 23; Pima County;1480;34014;47163
04019002400;Census Tract 24; Pima County;1776;39545;46736
04019002503;Census Tract 25.03; Pima County;1430;40000;70920
04019002504;Census Tract 25.04; Pima County;2233;51836;69345
04019002505;Census Tract 25.05; Pima County;2263;62028;65598
04019002507;Census Tract 25.07; Pima County;1198;37366;52353
04019002508;Census Tract 25.08; Pima County;1781;59019;66995
04019002509;Census Tract 25.09; Pima County;1795;41099;73405
04019002602;Census Tract 26.02; Pima County;2753;29570;44632
04019002603;Census Tract 26.03; Pima County;1326;29459;35343
04019002604;Census Tract 26.04; Pima County;1859;30863;36653
04019002702;Census Tract 27.02; Pima County;2653;52127;68460
04019002703;Census Tract 27.03; Pima County;1943;41547;54251
04019002704;Census Tract 27.04; Pima County;1103;38625;55291
04019002801;Census Tract 28.01; Pima County;1078;30577;33525
04019002802;Census Tract 28.02; Pima County;2114;43500;50658
04019002803;Census Tract 28.03; Pima County;1212;50574;61234
04019002901;Census Tract 29.01; Pima County;2910;42022;60751
04019002904;Census Tract 29.04; Pima County;1642;51156;76871
04019002905;Census Tract 29.05; Pima County;2141;53365;79925
04019002906;Census Tract 29.06; Pima County;1371;65859;88333
04019003002;Census Tract 30.02; Pima County;2268;59545;68573
04019003003;Census Tract 30.03; Pima County;2115;47983;65638
04019003004;Census Tract 30.04; Pima County;809;60083;72181
04019003102;Census Tract 31.02; Pima County;1925;37285;56923
04019003103;Census Tract 31.03; Pima County;1457;34312;39749
04019003104;Census Tract 31.04; Pima County;1434;32742;59894
04019003201;Census Tract 32.01; Pima County;1227;81307;91416
04019003202;Census Tract 32.02; Pima County;1489;40908;58743
04019003302;Census Tract 33.02; Pima County;1684;70362;73374
04019003303;Census Tract 33.03; Pima County;1960;46217;64376
04019003304;Census Tract 33.04; Pima County;1745;52422;78203
04019003400;Census Tract 34; Pima County;2362;59821;81880
04019003502;Census Tract 35.02; Pima County;1641;44926;61471
04019003503;Census Tract 35.03; Pima County;1657;36514;43592
04019003504;Census Tract 35.04; Pima County;988;64052;73931
04019003505;Census Tract 35.05; Pima County;1785;36690;44283
04019003506;Census Tract 35.06; Pima County;1392;36908;47690
